Algeria	Algiers		IncubMe Algeria
Algeria	Algiers	http://sylabs-dz.com/	Sylabs
Angola	Luanda		Kianda Hub
Benin	Cotonou	http://www.etrilabs.com/	Etrilabs
Benin	Cotonou	https://www.jokkolabs.net/	Jokkolabs Cotonou
Benin	Cotonou		Pandora Box
Benin	Cotonou	https://semecity.bj/en/	Seme City
Botswana	Francistown		Dream Factory Innovation
Botswana	Gaborone	http://www.bih.co.bw/	Botswana Innovation Hub
Botswana	Gaborone	https://web.facebook.com/TheNeoHub	TheNeoHub
Burkina Faso	Ouagadougou	https://burkina-business-incubator.com/	Burkina BusinessIncubator
Burkina Faso	Ouagadougou	https://www.jokkolabs.net/ouagadougou	Jokkolabs
Burkina Faso	Ouagadougou		Mahna
Burundi	Bujumbura	https://bujumbura.impacthub.net/	Impact Hub Bujumbura
Burundi	Ngozi	www.dicos.io	DICOS Incubator LLP
Cameroon	Bafoussam	www.we-tech.org	WETECH
Cameroon	Buea	 https://www.activspaces.com/about/	ActivSpaces
Cameroon	Buea	https://jongohub.net	Jongo Hub
Cameroon	Douala	 https://www.activspaces.com/about/	ActivSpaces
Cameroon	Douala	http://innova237.com/	Innova237
Cameroon	Douala	https://www.jokkolabs.net/douala	Jokkolabs Cameroon
Cameroon	Douala	http://kmrstartuphub.cm/	KMR Start-Up HUB
Cameroon	Douala		Le Boukarou
Cameroon	Douala	https://www.uaddev.com/	United Advance Development
Cameroon	Douala	www.we-tech.org	WETECH
Cameroon	Douala		YouthBusinessCameroon(YBC)
Cameroon	Kribi	https://www.oickribi.com/	Ocean Innovation Centre
Cameroon	Limbe	www.we-tech.org	WETECH
Cameroon	Limbe	https://hub.zixtechorganization.org/	Zixtech Hub
Cameroon	Yaoundé	https://www.beehive-coworking.com	Beehive Incubator &#038;Coworking
Cameroon	Yaoundé	https://www.ecolialabs.org/	Ecolia Labs
Cameroon	Yaoundé	https://itkola.org/	IT Kola
Cameroon	Yaoundé		Kum&#8217;lab
Cameroon	Yaoundé	http://www.nexgeninc.com/	NexGen Technology Center
Cameroon	Yaoundé	http://www.cioa-cameroun.com	SCS Afrique Centrale Innov
Cape Verde	Porto Ingle’s	http://www.maiobusinesscenter.com	Maio Business Center
Chad	N&#8217;Djmena	http://startoppzone.com	StartOpp Zone
Chad	N&#8217;Djmena	http://wenaklabs.org/	Wenak Labs
Comoros	Moroni	www.comorescoworking.com	Com&#8217;Work
Côte d’Ivoire	Abidjan	https://www.fablabs.io/labs/babylab	BabyLab FabLab
Côte d’Ivoire	Abidjan	https://www.jokkolabs.net/abidjan	Jokkolabs
Côte d’Ivoire	Abidjan	https://ovillage.ci	OVillage
Côte d’Ivoire	Grand Bassam		FONDATION JEUNESSE NUMÉRIQUE
Democratic Republic of Congo	Bukavu	https://www.climatechangeafricaopportunities.org/en/	Climate Change Africa Opportunities (CCAO)
Democratic Republic of Congo	Bukavu	https://kivuhub.net/	Kivuhub
Democratic Republic of Congo	Kinshasa	http://www.ingeniouscity.com/	Ingenious City
Democratic Republic of Congo	Lubumbashi	http://cinolu.org/	Centre d&#8217;innovation deLubumbashi
Democratic Republic of Congo	Lubumbashi	http://www.llab.cd/	Lumumba Labs
Djibouti	Djibouti	http://ctid-djibouti.com/	CTID (Centre deTechnologie, d&#8217;Innovationpour le Développement)
Egypt	Alexandria	http://www.cairohackerspace.org/	Cairo Hackerspace
Egypt	Alexandria	http://www.icealex.com/	Ice Alex
Egypt	Alexandria	http://projects.worldbank.org/P094229/egypt-alexandria-development-project?lang=en	Maamal for Development
Egypt	Cairo	http://district-egypt.com/	Kmt House
Equatorial Guinea	Malabo		Dreams Tech Hub
Ethiopia	Addis Ababa	http://www.bluemoonethiopia.com	blueMoon
Ethiopia	Addis Ababa	http://www.iceaddis.com/	iceaddis
Ethiopia	Addis Ababa	https://www.startupfactoryethiopia.com	Startup Factory Ethiopia
Ethiopia	Addis Ababa	https://www.facebook.com/xhubaddis/	xHub
France	Nanterre France (Partnership based)	https://www.jokkolabs.net/nanterre	JokkoLabs, Nanterre
France	Paris	https://www.afrobytes.com	Afrobytes
Gabon	Libreville	www.akewa.org	Akewa Acclerateur
Gabon	Libreville	http://ogoouelabs.com/	Ogooue Labs
Gambia	Banjul	https://www.jokkolabs.net/banjul	Jokkolabs
Gambia	Banjul	https://www.startupincubator.gm/	Startup Incubator Gambia
Gambia	Banjul		The Hub
Gambia	Fajara	http://www.disruptivelab.gm	The Disruptive Lab
Ghana	Accra	https://developersinvogue.org/	Developers in Vogue
